orbit_0,orbit_1,orbit_2,orbit_4,orbit_5,orbit_6,orbit_7,orbit_8,orbit_9,orbit_10,orbit_11
4,13,2,62,13,12,0,0,9,16,1
9,42,26,74,239,115,26,3,45,57,49
4,13,1,58,5,7,0,0,12,30,0
6,16,8,35,35,15,1,3,5,23,11
4,10,3,34,14,8,1,2,8,8,0
3,12,2,29,13,14,0,3,11,1,1
1,14,0,24,0,62,0,0,29,0,0
4,9,3,29,11,2,0,1,4,6,2
5,10,5,35,17,6,1,2,7,13,3
6,30,8,80,56,61,2,6,23,50,10
7,14,12,63,53,4,4,0,10,27,20
5,29,4,50,26,99,0,3,28,54,6
4,12,2,50,13,7,0,0,8,17,1
6,34,10,49,93,121,5,7,33,33,10
5,31,2,47,9,93,0,3,23,73,1
4,34,1,54,11,111,0,0,35,63,0
7,33,8,51,51,83,1,4,12,89,11
8,28,13,52,52,57,6,5,13,94,20
1,5,0,23,0,6,0,0,4,0,0
7,17,12,74,60,11,2,1,14,32,24
7,19,13,65,78,19,6,0,11,22,20
6,26,9,46,86,67,2,1,39,36,14
4,14,2,40,17,13,0,0,11,17,1
5,14,4,47,22,4,0,0,10,26,4
2,18,0,32,0,63,0,0,34,18,0
4,32,2,49,20,113,0,2,31,38,1
7,22,12,70,72,19,2,0,12,44,24
7,28,8,58,43,72,2,1,16,83,9
4,11,3,36,13,4,0,1,7,8,2
5,23,3,70,19,40,0,1,22,47,2
2,11,1,54,5,11,0,3,16,0,0
2,18,0,35,0,71,0,0,26,12,0
6,23,11,66,51,53,10,4,24,38,4
5,18,8,88,60,14,5,1,20,8,4
2,7,0,47,0,6,0,0,3,5,0
4,14,2,41,11,11,0,1,9,19,1
8,33,18,51,92,76,19,10,18,73,18
7,17,12,51,61,11,6,0,8,33,16
15,24,76,39,215,21,185,9,11,85,180
16,24,90,39,254,13,247,4,16,82,221
6,28,11,69,97,55,6,1,32,25,13
8,20,19,42,85,6,17,4,12,35,27
6,27,7,86,51,42,3,3,27,54,5
8,27,19,58,129,27,16,3,16,34,28
